FAULT LATITUDE & LONGITUDE DATA - ALL INDIA SEISAT SHEETS (COMPILED),,,,,,
SEISAT SHEET,FAULT TYPE,S.NO,FAULT NAME,ABBREVIATION,LONGITUDE,LATITUDE
SEISAT-20,NEOTECTONIC FAULT,5,TAPTI NORTH FAULT,F4l,75.2,21.38
SEISAT-20,NEOTECTONIC FAULT,6,TAPTI NORTH FAULT,F4m,75.15,21.31
SEISAT-20,NEOTECTONIC FAULT,6,TAPTI NORTH FAULT,F4m,75.3,21.3
SEISAT-20,NEOTECTONIC FAULT,7,TAPTI NORTH FAULT,F4n,75.18,21.25
SEISAT-20,NEOTECTONIC FAULT,7,TAPTI NORTH FAULT,F4n,75.32,21.24
SEISAT-20,NEOTECTONIC FAULT,8,TAPTI NORTH FAULT,F4o,75.34,21.24
SEISAT-20,NEOTECTONIC FAULT,8,TAPTI NORTH FAULT,F4o,75.4,21.4
SEISAT-20,NEOTECTONIC FAULT,9,TAPTI NORTH FAULT,F4p,75.35,21.3
SEISAT-20,NEOTECTONIC FAULT,9,TAPTI NORTH FAULT,F4p,75.7,21.25
SEISAT-20,NEOTECTONIC FAULT,9,TAPTI NORTH FAULT,F4p,76,21.3
SEISAT-20,NEOTECTONIC FAULT,9,TAPTI NORTH FAULT,F4p,76.15,21.4
SEISAT-20,NEOTECTONIC FAULT,10,TAPTI NORTH FAULT,F4q,75.92,21.26
SEISAT-20,NEOTECTONIC FAULT,10,TAPTI NORTH FAULT,F4q,76.1,21.32
SEISAT-20,NEOTECTONIC FAULT,11,TAPTI NORTH FAULT,F4r,75.95,21.24
SEISAT-20,NEOTECTONIC FAULT,11,TAPTI NORTH FAULT,F4r,76.05,21.3
SEISAT-20,NEOTECTONIC FAULT,12,Gavligarh fault,F9a,76.07,21.09
SEISAT-20,NEOTECTONIC FAULT,12,Gavligarh fault,F9a,76.3,21.04
SEISAT-20,NEOTECTONIC FAULT,12,Gavligarh fault,F9a,76.7,21.15
SEISAT-20,NEOTECTONIC FAULT,12,Gavligarh fault,F9a,77,21.2
SEISAT-20,NEOTECTONIC FAULT,12,Gavligarh fault,F9a,77.2,21.23
SEISAT-20,NEOTECTONIC FAULT,12,Gavligarh fault,F9a,77.45,21.28
SEISAT-20,NEOTECTONIC FAULT,13,Gavligarh fault,F9b,77.4,21.38
SEISAT-20,NEOTECTONIC FAULT,13,Gavligarh fault,F9b,77.49,21.28
SEISAT-20,NEOTECTONIC FAULT,14,Gavligarh fault,F9c,77.45,21.3
SEISAT-20,NEOTECTONIC FAULT,14,Gavligarh fault,F9c,77.7,21.28
SEISAT-20,NEOTECTONIC FAULT,14,Gavligarh fault,F9c,77.95,21.3
SEISAT-20,FAULT INVOLVING COVER,1,Gavligarh fault,F9c,75.85,22.5
SEISAT-20,FAULT INVOLVING COVER,1,Gavligarh fault,F9c,75.9,22.46
SEISAT-20,FAULT INVOLVING COVER,1,Gavligarh fault,F9c,75.99,22.42
SEISAT-20,FAULT INVOLVING COVER,2,Gavligarh fault,F9c,75.85,21.35
SEISAT-20,FAULT INVOLVING COVER,2,Gavligarh fault,F9c,76.08,21.39
SEISAT-20,FAULT INVOLVING COVER,3,Gavligarh fault,F9c,75.95,21.32
SEISAT-20,FAULT INVOLVING COVER,3,Gavligarh fault,F9c,76.06,21.36
SEISAT-20,FAULT INVOLVING COVER,4,Gavligarh fault,F9c,76.08,21.25
SEISAT-20,FAULT INVOLVING COVER,4,Gavligarh fault,F9c,76.18,21.29
SEISAT-20,FAULT INVOLVING COVER,5,Gavligarh fault,F9c,76.08,22.1
SEISAT-20,FAULT INVOLVING COVER,5,Gavligarh fault,F9c,76.18,22.12
SEISAT-20,FAULT INVOLVING COVER,6,Gavligarh fault,F9c,76.1,22.01
SEISAT-20,FAULT INVOLVING COVER,6,Gavligarh fault,F9c,76.2,22.05
SEISAT-20,FAULT INVOLVING COVER,7,Gavligarh fault,F9c,76.12,21.95
SEISAT-20,FAULT INVOLVING COVER,7,Gavligarh fault,F9c,76.21,22.04
SEISAT-20,SUB SURFACE FAULT,1,Gavligarh fault,F9c,75.4,21.3
SEISAT-20,SUB SURFACE FAULT,1,Gavligarh fault,F9c,75.7,21.15
SEISAT-20,SUB SURFACE FAULT,1,Gavligarh fault,F9c,76,21.1
SEISAT-20,SUB SURFACE FAULT,1,Gavligarh fault,F9c,76.08,21.08
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,1,Gavligarh fault,F9c,75.85,21.93
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,1,Gavligarh fault,F9c,76,21.96
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,1,Gavligarh fault,F9c,76.2,22
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,1,Gavligarh fault,F9c,76.5,22.15
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,1,Gavligarh fault,F9c,76.75,22.2
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,1,Gavligarh fault,F9c,77,22.25
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,1,Gavligarh fault,F9c,77.3,22.65
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,1,Gavligarh fault,F9c,77.6,22.5
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,1,Gavligarh fault,F9c,77.9,22.58
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,2,Gavligarh fault,F9c,75.2,22.5
